version,run,scenario,items,median_us,p10_us,p90_us
baseline,1,insert_map,10000,4343.2,4176.9,4427.5
baseline,1,update_map,10000,81040.6,74574.5,88583.5
baseline,1,batch_map,10000,17489.0,16764.7,18957.7
baseline,1,batch_list,10000,15771.0,14887.6,28179.5
baseline,2,insert_map,10000,4302.8,4275.5,4548.6
baseline,2,update_map,10000,77022.7,74067.5,86926.0
baseline,2,batch_map,10000,14551.6,14063.6,16217.4
baseline,2,batch_list,10000,13654.0,13314.4,15554.9
baseline,3,insert_map,10000,4539.1,4445.3,4881.0
baseline,3,update_map,10000,81148.6,76723.5,86271.8
baseline,3,batch_map,10000,16741.0,16200.8,19462.3
baseline,3,batch_list,10000,17068.7,15083.5,18384.2
seen,1,insert_map,10000,5687.2,4987.9,6411.4
seen,1,update_map,10000,76246.2,73593.8,79969.6
seen,1,batch_map,10000,14095.7,13955.6,14238.1
seen,1,batch_list,10000,12970.1,12858.5,13325.1
seen,2,insert_map,10000,4818.1,4698.2,5114.9
seen,2,update_map,10000,77312.4,76127.5,80087.2
seen,2,batch_map,10000,17790.6,17134.0,19354.2
seen,2,batch_list,10000,17080.5,16016.7,19912.3
seen,3,insert_map,10000,4805.0,4723.1,5204.0
seen,3,update_map,10000,77460.9,76443.3,82292.0
seen,3,batch_map,10000,18601.5,16101.0,27172.6
seen,3,batch_list,10000,15374.4,14400.8,17099.5
revised,1,insert_map,10000,4318.2,4236.3,4549.7
revised,1,update_map,10000,75093.4,73517.8,79226.4
revised,1,batch_map,10000,15356.6,14928.0,16663.8
revised,1,batch_list,10000,16515.4,13947.3,19008.7
revised,2,insert_map,10000,4365.7,4225.6,4549.7
revised,2,update_map,10000,83240.7,76987.1,89997.6
revised,2,batch_map,10000,14884.0,14692.9,21776.3
revised,2,batch_list,10000,15856.4,14079.0,16911.9
revised,3,insert_map,10000,5340.5,4831.1,5834.4
revised,3,update_map,10000,81749.4,76094.3,106339.6
revised,3,batch_map,10000,20546.3,19192.8,24953.6
revised,3,batch_list,10000,13258.6,12934.5,18875.8
